EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
312,58,Non-Travel,294,Research & Development,16,2,Technical Degree,1,Male,78,3,4,Sales Executive,4,Single,7030,26908,6,No,12,4,2,2,35,1,4,34,12,14,9,No
313,54,Travel_Frequently,1279,Research & Development,24,3,Technical Degree,1,Female,72,3,5,Research Scientist,1,Married,15661,14770,2,No,22,3,2,2,4,0,3,28,17,12,13,Yes
314,41,Travel_Frequently,1295,Human Resources,16,1,Marketing,4,Male,70,2,5,Manufacturing Director,3,Married,15975,9977,9,Yes,20,3,4,0,38,5,4,10,2,8,16,No
315,46,Non-Travel,946,Sales,7,3,Technical Degree,4,Male,66,3,2,Sales Executive,1,Single,1079,6661,6,No,18,4,4,3,25,0,3,5,6,0,8,Yes
316,48,Travel_Frequently,1164,Human Resources,13,2,Human Resources,1,Male,86,4,4,Sales Executive,2,Married,15809,6549,1,No,13,4,1,0,38,2,2,18,0,2,14,No
317,52,Non-Travel,1186,Sales,13,1,Marketing,1,Male,71,2,1,Research Director,4,Divorced,13132,22337,7,No,20,4,2,2,10,6,2,36,2,12,6,No
318,50,Non-Travel,122,Human Resources,5,2,Other,4,Female,76,4,5,Sales Representative,1,Divorced,3966,22645,5,No,21,3,1,3,10,1,3,26,13,0,1,No
319,38,Travel_Frequently,459,Research & Development,25,4,Life Sciences,4,Male,90,4,3,Research Director,1,Divorced,16534,17029,2,Yes,24,4,2,3,17,5,4,4,3,6,3,Yes
320,49,Travel_Frequently,1198,Research & Development,20,1,Other,2,Female,43,4,4,Manufacturing Director,4,Married,4728,26507,2,No,20,4,1,2,11,3,1,25,5,1,10,No
321,40,Travel_Rarely,659,Research & Development,22,1,Life Sciences,2,Male,97,3,4,Manager,3,Married,5536,6973,4,Yes,24,3,4,0,15,5,3,34,8,10,4,Yes
322,50,Non-Travel,771,Human Resources,18,3,Other,2,Male,82,1,3,Laboratory Technician,1,Divorced,17509,10436,2,No,18,4,2,0,26,2,3,18,10,10,7,No
323,20,Travel_Rarely,1241,Sales,15,1,Human Resources,1,Female,63,1,5,Research Director,4,Married,6813,12086,5,No,17,4,2,0,35,3,4,16,14,11,4,No
324,35,Travel_Frequently,778,Sales,18,2,Life Sciences,3,Male,53,4,3,Manufacturing Director,2,Divorced,1947,19740,1,No,20,3,1,1,16,5,1,34,8,3,1,No
325,42,Travel_Rarely,1413,Research & Development,2,3,Life Sciences,4,Female,49,3,2,Laboratory Technician,2,Single,13565,21851,7,Yes,14,4,1,1,20,3,3,12,10,3,4,Yes
326,59,Non-Travel,539,Research & Development,10,4,Medical,2,Female,98,2,1,Manufacturing Director,4,Divorced,16844,8964,8,No,17,4,3,3,36,4,1,13,9,13,2,No
327,48,Travel_Rarely,1032,Research & Development,23,2,Life Sciences,3,Female,59,4,1,Manager,1,Single,1594,16842,6,No,21,4,3,0,30,3,1,29,1,12,11,No
328,20,Non-Travel,106,Research & Development,13,4,Life Sciences,4,Male,36,2,5,Sales Representative,4,Single,17524,25451,2,Yes,18,4,4,1,34,5,2,16,13,7,6,No
329,57,Travel_Frequently,1319,Sales,18,4,Medical,3,Male,65,2,3,Sales Representative,4,Single,15017,3745,9,No,16,3,2,3,26,3,4,36,3,10,3,No
330,41,Travel_Frequently,520,Human Resources,15,4,Technical Degree,1,Male,67,3,4,Manufacturing Director,1,Divorced,5205,14697,3,No,16,3,2,2,22,1,3,14,1,3,13,No
331,49,Non-Travel,932,Human Resources,12,1,Technical Degree,1,Male,81,3,4,Research Director,3,Divorced,8782,5879,9,No,13,3,1,2,31,4,3,17,4,2,6,No
332,39,Travel_Frequently,1316,Human Resources,15,2,Medical,1,Female,44,1,4,Sales Representative,3,Married,3660,22161,1,No,15,4,4,0,16,4,1,13,13,9,14,Yes
333,40,Travel_Frequently,658,Human Resources,13,2,Marketing,2,Male,75,1,2,Research Scientist,2,Married,17013,20499,8,Yes,20,3,2,2,10,2,3,13,14,11,0,Yes
334,19,Travel_Frequently,1271,Research & Development,18,1,Life Sciences,4,Male,52,3,2,Research Director,3,Single,7856,24641,4,Yes,12,3,4,2,0,4,1,32,5,2,11,No
335,44,Travel_Frequently,1325,Research & Development,15,3,Life Sciences,1,Female,41,4,4,Human Resources,4,Divorced,7089,4267,1,Yes,22,4,3,2,27,0,3,37,14,4,5,No
336,59,Non-Travel,1013,Research & Development,25,4,Medical,2,Female,73,1,5,Healthcare Representative,1,Married,6318,20651,9,No,15,3,1,3,17,1,4,10,13,5,12,No
337,19,Travel_Rarely,1106,Human Resources,23,2,Medical,2,Male,44,2,2,Manufacturing Director,2,Married,16405,11688,5,No,15,4,2,2,19,2,3,10,7,6,5,Yes
338,43,Travel_Rarely,225,Research & Development,11,1,Marketing,2,Female,78,4,2,Manufacturing Director,3,Married,19936,17065,6,No,17,4,1,2,6,0,1,25,11,12,12,No
339,34,Travel_Frequently,494,Research & Development,19,4,Human Resources,2,Female,50,2,1,Manufacturing Director,4,Divorced,9062,12988,1,No,14,4,3,3,36,3,1,2,3,4,14,No
340,57,Travel_Rarely,916,Sales,3,3,Technical Degree,1,Female,44,3,1,Manager,2,Married,18424,25470,0,Yes,24,3,4,1,15,6,3,24,5,6,15,Yes
341,50,Travel_Rarely,980,Sales,7,3,Other,2,Female,43,2,5,Manufacturing Director,1,Single,9506,6481,6,No,21,3,4,3,38,0,3,16,10,3,7,No
342,26,Travel_Frequently,675,Research & Development,21,4,Human Resources,1,Female,71,4,2,Sales Representative,3,Divorced,12651,25849,0,Yes,16,4,3,1,22,2,1,21,6,4,12,Yes
343,56,Travel_Frequently,424,Sales,26,3,Technical Degree,1,Male,44,3,2,Sales Representative,4,Married,16730,2929,2,No,19,3,3,3,31,4,2,28,3,5,12,No
344,46,Travel_Rarely,1029,Sales,14,2,Life Sciences,2,Male,92,4,3,Healthcare Representative,1,Married,4236,9773,3,No,14,4,2,0,16,1,2,25,14,8,11,No
345,59,Non-Travel,1327,Research & Development,14,2,Human Resources,1,Male,97,2,5,Healthcare Representative,4,Divorced,4680,5324,1,Yes,21,3,2,2,18,6,3,33,0,5,16,No
346,43,Travel_Frequently,932,Research & Development,22,2,Medical,4,Male,56,4,5,Research Director,4,Married,16383,6587,6,No,24,3,2,1,33,2,4,25,8,9,2,No
347,52,Non-Travel,1154,Research & Development,13,3,Marketing,4,Male,82,3,3,Sales Representative,4,Married,12298,2356,4,Yes,16,3,2,3,13,0,3,8,7,13,14,No
348,42,Travel_Rarely,936,Research & Development,12,2,Technical Degree,3,Male,81,2,3,Sales Representative,1,Single,18921,17787,0,Yes,23,3,2,1,2,6,4,39,11,10,16,Yes
349,41,Travel_Frequently,1025,Human Resources,24,1,Marketing,4,Male,92,2,1,Manager,2,Divorced,4872,22694,7,No,22,3,4,1,38,0,3,10,6,0,5,No
350,30,Non-Travel,1499,Human Resources,9,2,Technical Degree,1,Female,82,1,5,Sales Representative,4,Married,2867,22448,9,Yes,19,4,2,2,24,2,1,6,17,11,11,No
351,24,Travel_Frequently,1467,Research & Development,1,2,Human Resources,1,Male,86,1,5,Sales Representative,2,Divorced,16820,7499,6,Yes,20,3,3,1,10,6,3,29,0,10,3,Yes
352,53,Travel_Rarely,542,Sales,19,3,Life Sciences,4,Male,81,4,3,Research Scientist,2,Divorced,18545,5841,3,No,22,3,3,3,14,5,4,1,8,6,11,Yes
353,37,Non-Travel,174,Research & Development,11,2,Other,2,Male,72,1,4,Research Scientist,3,Single,4920,14122,1,Yes,11,3,2,0,18,5,4,29,6,13,1,No
354,18,Travel_Rarely,656,Research & Development,23,4,Marketing,2,Female,36,1,4,Sales Representative,3,Single,6693,23717,6,Yes,18,3,3,0,14,2,3,3,13,10,6,No
355,25,Travel_Rarely,1278,Sales,22,1,Marketing,1,Male,71,1,1,Sales Representative,2,Divorced,11948,15409,1,No,11,3,1,2,14,5,3,13,0,12,15,No
356,33,Travel_Frequently,462,Human Resources,23,3,Other,2,Male,33,1,4,Sales Representative,3,Single,9456,25055,5,Yes,14,4,4,3,37,2,2,12,12,10,11,Yes
357,31,Non-Travel,547,Research & Development,24,1,Marketing,3,Female,98,3,4,Healthcare Representative,3,Single,7331,9059,0,No,13,4,4,3,14,4,3,24,14,2,15,No
358,29,Travel_Rarely,1357,Research & Development,22,4,Marketing,3,Male,34,3,4,Sales Executive,2,Married,14107,2665,6,Yes,14,4,2,0,8,6,3,12,4,5,13,No
359,40,Travel_Rarely,361,Human Resources,19,3,Technical Degree,4,Male,70,1,2,Research Scientist,1,Single,10494,25237,6,No,24,3,1,3,4,2,1,12,4,1,0,Yes
360,32,Non-Travel,224,Human Resources,18,3,Technical Degree,4,Female,33,4,1,Human Resources,3,Single,14853,12220,3,No,17,3,2,1,18,3,4,36,13,14,8,No
361,45,Travel_Rarely,1010,Sales,12,2,Other,2,Male,31,3,3,Research Director,3,Married,10386,12774,3,No,23,4,2,2,23,1,2,5,13,13,6,No
362,51,Travel_Rarely,344,Human Resources,23,1,Life Sciences,1,Female,96,1,4,Research Director,1,Married,18910,2553,9,No,24,4,3,0,28,1,1,25,13,11,4,No
363,19,Non-Travel,641,Human Resources,28,4,Human Resources,4,Male,50,3,2,Sales Executive,1,Divorced,9131,15860,4,No,19,4,4,2,4,3,3,13,4,6,9,No
364,49,Non-Travel,584,Human Resources,28,4,Human Resources,3,Male,99,2,4,Manager,1,Single,12796,26903,1,Yes,19,4,1,1,21,0,4,7,10,0,9,Yes
365,40,Non-Travel,221,Sales,28,3,Marketing,4,Male,72,3,2,Human Resources,2,Married,2158,9045,8,No,20,3,3,0,12,0,3,23,4,12,6,No
366,39,Non-Travel,224,Human Resources,27,2,Life Sciences,4,Female,98,3,1,Research Director,1,Single,18528,11380,9,No,11,4,4,3,28,0,3,21,3,1,12,No
367,42,Travel_Frequently,269,Human Resources,1,3,Other,3,Female,38,4,4,Laboratory Technician,2,Divorced,1068,25667,3,Yes,20,3,4,3,15,6,3,39,14,8,10,Yes
368,39,Non-Travel,223,Sales,19,3,Other,1,Female,57,3,2,Manufacturing Director,4,Single,4717,2149,8,No,11,4,2,1,35,0,3,38,6,8,9,No
369,39,Travel_Frequently,1158,Human Resources,28,3,Technical Degree,4,Male,55,4,5,Laboratory Technician,4,Single,16218,18373,2,Yes,19,3,1,0,16,4,4,20,4,6,8,Yes
370,59,Travel_Frequently,1210,Human Resources,27,3,Marketing,4,Male,32,2,5,Manager,1,Single,12200,15343,8,Yes,14,3,2,2,19,3,1,25,14,1,14,No
371,23,Travel_Frequently,745,Sales,20,4,Medical,4,Female,78,1,2,Human Resources,1,Married,16855,4853,0,No,22,3,3,0,13,1,3,9,13,4,13,No
372,32,Travel_Rarely,885,Research & Development,29,4,Other,2,Female,46,4,4,Research Director,4,Married,10361,12128,6,Yes,23,4,2,3,5,3,3,12,2,3,2,Yes
373,54,Travel_Frequently,300,Sales,17,3,Marketing,4,Male,92,3,4,Manufacturing Director,2,Divorced,16692,14580,3,Yes,24,3,2,0,21,1,2,13,4,1,13,Yes
374,50,Travel_Frequently,468,Human Resources,5,3,Life Sciences,3,Male,84,3,1,Research Scientist,2,Single,12526,17254,6,Yes,13,3,4,0,39,0,2,8,11,1,15,No
375,25,Travel_Rarely,896,Human Resources,26,2,Technical Degree,1,Male,52,4,1,Research Director,1,Divorced,11207,4736,9,No,23,4,4,3,8,4,4,6,13,9,2,Yes
376,22,Travel_Rarely,176,Human Resources,3,3,Human Resources,1,Male,63,2,3,Research Director,1,Divorced,10231,2956,5,Yes,19,4,3,3,31,2,3,38,4,7,7,Yes
377,56,Travel_Rarely,158,Sales,2,4,Life Sciences,3,Female,98,1,1,Manager,1,Married,16063,13440,3,No,15,4,4,2,23,2,3,30,3,4,1,No
378,21,Non-Travel,530,Human Resources,3,1,Other,2,Male,44,3,4,Research Director,4,Single,5723,7180,3,No,22,4,4,0,32,5,3,15,15,7,1,No
379,23,Travel_Rarely,737,Human Resources,8,4,Other,3,Male,76,2,3,Human Resources,3,Single,5213,10607,7,Yes,16,4,4,3,12,0,4,7,6,1,6,No
380,49,Travel_Rarely,208,Sales,16,2,Life Sciences,1,Male,32,1,1,Sales Executive,1,Divorced,4466,13646,6,No,11,4,2,1,34,0,4,14,2,1,16,No
381,47,Travel_Frequently,1107,Research & Development,6,4,Other,3,Male,57,1,2,Human Resources,2,Single,13449,21029,3,Yes,11,3,1,3,5,3,3,24,3,10,5,Yes
382,52,Travel_Rarely,1401,Research & Development,13,1,Marketing,2,Male,32,3,5,Research Scientist,3,Married,3747,22158,5,Yes,23,3,3,2,39,4,3,37,5,10,9,No
383,57,Non-Travel,167,Human Resources,23,3,Other,1,Male,33,4,1,Sales Executive,2,Divorced,13454,16342,5,No,24,4,2,2,29,4,4,14,2,2,6,No
384,33,Travel_Rarely,1192,Sales,28,1,Technical Degree,2,Male,60,3,1,Research Director,3,Divorced,13587,7013,0,No,17,4,3,1,37,3,3,24,0,10,3,No
385,30,Non-Travel,1288,Human Resources,22,3,Marketing,3,Female,74,3,2,Research Director,4,Married,17383,2084,1,No,20,3,2,2,15,4,1,6,2,9,10,No
386,59,Travel_Rarely,404,Sales,22,3,Medical,4,Female,88,3,4,Manufacturing Director,3,Married,3203,3935,3,Yes,18,3,3,0,0,6,1,25,7,7,15,No
387,47,Travel_Rarely,773,Sales,16,4,Other,3,Female,74,2,2,Research Director,2,Married,14635,11608,5,Yes,21,3,4,2,17,6,4,7,15,14,16,Yes
388,36,Travel_Rarely,464,Research & Development,28,4,Other,2,Male,66,4,1,Sales Representative,3,Married,2144,11262,5,Yes,18,4,3,1,21,4,1,17,6,7,5,Yes
389,34,Travel_Rarely,920,Research & Development,16,4,Technical Degree,3,Female,94,2,4,Research Scientist,4,Married,13213,13604,0,No,24,3,1,2,25,6,2,20,17,2,14,No
390,36,Non-Travel,442,Sales,3,2,Technical Degree,4,Male,38,3,3,Healthcare Representative,2,Married,17944,11713,7,Yes,23,3,3,1,13,2,3,15,8,0,1,No
391,45,Non-Travel,1046,Human Resources,28,4,Human Resources,2,Male,46,4,1,Manufacturing Director,1,Divorced,2187,25133,1,Yes,17,4,1,2,36,4,2,2,2,6,5,No
392,43,Travel_Frequently,998,Research & Development,13,2,Life Sciences,3,Male,94,1,2,Laboratory Technician,3,Single,4133,19885,4,Yes,23,4,3,3,13,6,2,0,17,3,11,Yes
393,54,Non-Travel,1477,Human Resources,14,4,Life Sciences,2,Male,32,4,3,Sales Executive,2,Single,4411,24953,3,Yes,21,4,4,1,25,0,2,12,15,2,0,No
394,43,Travel_Rarely,1232,Research & Development,8,3,Life Sciences,2,Female,55,3,5,Healthcare Representative,3,Divorced,2689,4473,4,No,19,3,3,2,35,2,1,31,0,4,10,No
395,40,Travel_Frequently,861,Research & Development,12,2,Technical Degree,1,Male,82,4,3,Research Director,4,Single,5407,2735,4,Yes,11,4,2,0,22,0,3,11,15,11,3,No
396,26,Travel_Frequently,440,Human Resources,23,1,Life Sciences,1,Male,60,1,2,Human Resources,2,Single,3423,4838,9,No,12,3,4,1,1,0,3,30,11,5,5,No
397,29,Travel_Frequently,1041,Research & Development,23,2,Life Sciences,2,Female,55,1,3,Sales Representative,1,Divorced,18753,4562,7,Yes,23,3,4,1,38,6,4,1,5,13,7,Yes
398,18,Travel_Rarely,482,Research & Development,22,2,Medical,3,Female,52,4,2,Sales Executive,1,Single,7728,15440,9,Yes,13,4,2,2,6,6,2,7,8,0,8,Yes
399,18,Non-Travel,1103,Human Resources,21,1,Life Sciences,3,Female,59,1,1,Sales Executive,3,Single,1976,5906,6,Yes,23,3,4,3,38,3,1,24,12,11,9,Yes
400,51,Travel_Rarely,399,Research & Development,26,2,Other,3,Male,39,2,4,Sales Executive,4,Divorced,13801,3272,8,No,22,4,4,3,21,5,2,4,11,11,9,No
401,49,Travel_Frequently,238,Research & Development,8,3,Human Resources,4,Female,93,4,5,Research Scientist,4,Single,11548,6836,0,No,23,4,2,2,27,4,2,1,12,8,9,No
402,42,Travel_Rarely,458,Research & Development,21,4,Technical Degree,2,Male,51,1,4,Sales Executive,3,Married,1118,3862,5,No,15,4,4,2,37,4,3,37,17,5,3,No
403,57,Travel_Rarely,935,Human Resources,25,1,Marketing,2,Male,44,1,4,Manufacturing Director,2,Divorced,2542,6226,5,Yes,14,4,4,0,19,4,4,38,5,2,11,No
404,18,Non-Travel,1403,Sales,9,4,Human Resources,4,Female,85,4,4,Human Resources,2,Single,1972,14610,1,Yes,14,3,4,2,17,4,1,2,15,0,10,Yes
405,33,Non-Travel,582,Human Resources,1,3,Medical,2,Female,49,2,2,Manufacturing Director,3,Single,1915,11014,7,No,18,4,4,1,23,6,3,37,6,12,15,No
406,56,Travel_Frequently,1008,Sales,6,1,Technical Degree,2,Female,76,4,2,Manufacturing Director,2,Married,7621,18926,5,Yes,18,3,3,2,32,2,2,21,6,8,10,No
407,22,Travel_Rarely,1234,Research & Development,23,4,Technical Degree,4,Male,82,1,5,Sales Representative,2,Divorced,17970,8209,9,Yes,21,3,4,0,25,1,3,39,15,1,3,No
408,39,Travel_Rarely,965,Sales,19,4,Other,1,Male,82,4,2,Human Resources,2,Divorced,15530,21149,8,No,17,4,4,2,18,0,2,32,16,13,11,No
409,46,Non-Travel,238,Human Resources,23,3,Human Resources,2,Male,30,1,2,Sales Representative,3,Single,8354,25652,9,Yes,11,3,4,2,12,5,1,31,15,9,16,No
410,20,Travel_Rarely,1095,Human Resources,11,4,Human Resources,4,Male,31,3,2,Sales Executive,1,Married,14761,12270,4,Yes,20,4,3,1,9,5,3,16,15,5,12,No
411,29,Travel_Rarely,534,Research & Development,11,3,Life Sciences,3,Male,87,4,2,Sales Executive,4,Married,5591,19268,6,Yes,14,4,1,3,13,1,3,17,14,5,3,No
412,43,Travel_Rarely,608,Sales,23,2,Other,1,Male,48,4,1,Manufacturing Director,1,Married,19946,5649,5,No,11,4,4,2,8,1,3,2,2,11,5,No
413,33,Non-Travel,372,Research & Development,13,3,Life Sciences,3,Female,91,1,5,Manufacturing Director,2,Married,9464,16126,4,Yes,21,3,1,0,10,1,3,5,14,2,6,No
414,54,Travel_Frequently,1222,Research & Development,11,2,Life Sciences,2,Male,41,1,2,Sales Executive,3,Married,13550,25274,5,No,24,4,1,2,2,6,3,12,15,10,7,Yes
415,39,Travel_Frequently,203,Human Resources,18,1,Technical Degree,1,Female,55,1,5,Manager,4,Married,15351,18073,3,Yes,15,4,2,2,39,2,1,30,4,5,1,No
416,46,Travel_Rarely,1337,Sales,23,4,Human Resources,4,Female,56,1,3,Research Scientist,2,Divorced,5290,21955,2,No,13,3,2,1,11,1,4,16,9,13,8,No
417,31,Travel_Frequently,861,Sales,15,3,Life Sciences,2,Female,58,4,1,Healthcare Representative,4,Single,7446,22317,0,No,13,4,1,3,34,2,1,20,12,1,9,No
418,45,Non-Travel,886,Sales,1,3,Medical,4,Female,44,1,2,Research Director,4,Single,14432,24240,0,No,14,4,3,3,38,6,3,15,14,7,0,No
419,22,Non-Travel,264,Sales,21,4,Medical,1,Female,75,4,1,Laboratory Technician,1,Married,2522,5666,5,No,12,4,4,3,38,3,2,16,11,12,15,No
420,47,Travel_Frequently,1098,Research & Development,25,4,Human Resources,3,Male,30,2,1,Human Resources,2,Divorced,1561,15357,8,Yes,17,4,4,2,31,3,2,31,16,0,7,Yes
421,22,Travel_Frequently,619,Research & Development,7,1,Medical,2,Male,89,4,3,Sales Representative,4,Divorced,4540,17448,7,No,22,4,4,1,38,5,3,0,14,5,9,No
422,29,Travel_Rarely,1407,Human Resources,23,1,Technical Degree,2,Male,86,1,5,Human Resources,1,Married,13328,11913,1,Yes,23,4,2,1,13,3,4,37,3,13,10,No
423,33,Travel_Frequently,616,Research & Development,27,3,Other,4,Male,32,1,1,Sales Executive,3,Single,2479,10566,8,Yes,14,3,2,2,0,2,3,7,14,0,16,No
424,43,Travel_Rarely,756,Research & Development,13,1,Marketing,1,Female,47,2,4,Healthcare Representative,4,Married,7677,17605,7,No,15,4,4,1,26,2,1,0,16,8,6,No
425,43,Travel_Rarely,712,Human Resources,12,2,Life Sciences,4,Female,81,4,3,Laboratory Technician,2,Divorced,18589,2557,8,Yes,22,4,1,3,36,0,4,1,10,12,2,No
426,38,Non-Travel,263,Human Resources,18,1,Marketing,1,Female,89,2,4,Manufacturing Director,3,Married,9848,11472,3,Yes,24,4,2,1,0,1,4,36,14,12,6,No
427,56,Non-Travel,163,Human Resources,24,1,Other,2,Male,63,4,3,Manufacturing Director,4,Single,17973,13615,8,Yes,12,4,4,2,28,4,1,23,6,8,5,Yes
428,53,Non-Travel,1214,Research & Development,19,3,Other,1,Male,89,1,4,Sales Representative,4,Single,13766,8040,1,Yes,16,3,1,2,23,4,4,26,12,5,2,No
429,50,Non-Travel,1240,Research & Development,15,2,Technical Degree,2,Male,55,4,4,Research Director,2,Divorced,14520,15884,0,No,19,4,4,0,16,1,3,19,12,5,7,No
430,47,Travel_Frequently,366,Human Resources,8,1,Medical,1,Male,48,1,1,Healthcare Representative,4,Married,12943,3128,8,Yes,18,3,2,0,34,4,3,20,1,8,0,No
431,54,Non-Travel,1263,Human Resources,19,2,Medical,3,Female,51,1,1,Sales Representative,2,Married,11292,19744,9,Yes,18,4,3,1,30,4,2,36,9,13,4,No
432,40,Travel_Frequently,345,Human Resources,10,2,Other,1,Female,62,3,3,Laboratory Technician,2,Divorced,11076,23804,7,Yes,12,4,3,1,31,6,1,34,17,4,12,No
433,27,Non-Travel,494,Research & Development,7,2,Technical Degree,3,Male,67,3,5,Laboratory Technician,2,Married,17017,11292,6,Yes,14,3,2,2,18,4,4,37,4,8,10,No
434,22,Travel_Frequently,575,Research & Development,18,4,Technical Degree,1,Male,64,4,1,Laboratory Technician,2,Divorced,9655,7349,7,Yes,18,3,1,0,30,5,4,14,1,4,10,Yes
435,53,Travel_Rarely,1076,Sales,16,4,Human Resources,1,Female,96,1,1,Manufacturing Director,4,Married,9945,21009,0,No,21,4,4,0,38,2,4,29,3,13,1,No
436,51,Travel_Frequently,1307,Research & Development,20,4,Life Sciences,4,Female,39,2,2,Manager,3,Single,9774,14319,8,Yes,11,4,2,3,19,2,3,3,15,13,8,No
437,48,Travel_Frequently,1143,Research & Development,27,4,Medical,4,Female,44,1,1,Healthcare Representative,3,Divorced,3205,11823,9,No,18,4,1,3,27,2,1,38,15,3,1,No
438,27,Non-Travel,657,Research & Development,6,3,Other,2,Female,40,2,5,Research Director,1,Married,13342,2057,8,Yes,13,4,4,2,2,1,3,14,16,1,11,No
439,36,Travel_Frequently,1117,Human Resources,27,1,Human Resources,4,Male,53,4,2,Healthcare Representative,2,Married,5027,10503,8,No,18,4,4,2,31,3,4,22,14,1,8,No
440,49,Travel_Rarely,982,Research & Development,9,4,Marketing,1,Female,33,4,4,Healthcare Representative,4,Married,17327,24232,5,Yes,16,4,2,2,21,5,3,14,12,14,8,No
441,18,Travel_Rarely,246,Human Resources,21,3,Medical,4,Female,42,2,4,Research Scientist,4,Divorced,8188,12193,3,Yes,17,3,4,2,14,5,4,25,0,12,9,No
442,22,Non-Travel,765,Sales,13,1,Life Sciences,1,Female,86,2,2,Healthcare Representative,1,Single,3808,21121,1,No,12,4,3,0,37,4,4,11,4,0,4,No
443,21,Travel_Rarely,1427,Sales,25,4,Technical Degree,3,Female,66,1,2,Sales Representative,3,Married,14851,7493,3,No,11,4,3,2,18,0,3,17,0,9,8,No
444,33,Travel_Frequently,719,Human Resources,21,1,Other,1,Male,77,4,2,Research Scientist,4,Divorced,16354,5877,6,No,16,4,4,2,30,2,4,5,11,13,9,No
445,41,Travel_Rarely,919,Human Resources,26,4,Medical,2,Male,30,1,3,Manager,1,Married,16058,4282,0,Yes,22,3,2,0,25,6,3,17,14,2,16,No
446,33,Non-Travel,963,Human Resources,8,3,Marketing,3,Male,89,2,5,Sales Representative,3,Single,15620,25170,8,No,13,3,4,3,4,5,2,23,3,0,9,No
447,19,Travel_Frequently,681,Research & Development,16,2,Life Sciences,2,Male,41,3,5,Healthcare Representative,4,Single,4913,13375,2,No,14,3,2,2,19,5,3,37,15,12,13,No
448,45,Non-Travel,1122,Sales,13,2,Life Sciences,2,Male,50,3,4,Human Resources,2,Single,18803,23892,3,No,23,4,2,3,1,0,2,27,17,5,3,No
449,49,Travel_Frequently,794,Human Resources,13,1,Human Resources,2,Male,40,3,4,Manufacturing Director,1,Divorced,3167,3431,4,Yes,19,3,3,0,20,4,2,14,16,13,9,Yes
450,44,Travel_Rarely,1351,Research & Development,17,3,Medical,4,Female,73,2,4,Sales Executive,4,Married,3144,14526,2,Yes,13,4,3,3,35,5,3,18,10,10,4,No
451,37,Non-Travel,1225,Sales,23,2,Marketing,2,Female,87,1,1,Research Director,1,Divorced,3167,3775,3,Yes,12,4,1,0,27,5,1,4,12,12,8,Yes
452,41,Non-Travel,1339,Research & Development,20,4,Life Sciences,3,Female,73,4,4,Research Director,1,Married,10752,22591,4,No,12,4,2,2,19,3,1,3,8,6,5,No
453,29,Travel_Frequently,506,Sales,5,2,Other,1,Female,63,2,2,Sales Representative,1,Divorced,10368,13351,0,Yes,12,4,4,3,36,0,3,16,16,8,15,Yes
454,52,Non-Travel,498,Research & Development,22,1,Life Sciences,2,Male,54,3,4,Research Director,2,Married,18550,16639,8,Yes,16,4,2,2,38,6,3,9,16,13,15,No
455,50,Travel_Frequently,814,Sales,21,1,Marketing,3,Female,33,1,2,Research Scientist,3,Divorced,4575,6385,9,Yes,12,4,3,1,35,6,4,11,4,6,10,Yes
456,50,Travel_Frequently,803,Sales,28,3,Technical Degree,2,Male,93,4,3,Laboratory Technician,3,Married,19254,24735,9,Yes,21,4,2,1,10,4,4,4,7,3,14,No
457,54,Travel_Frequently,860,Research & Development,17,1,Technical Degree,1,Female,45,4,1,Human Resources,4,Divorced,17543,17203,3,No,17,3,1,3,2,4,3,6,2,13,2,No
458,29,Travel_Frequently,598,Human Resources,28,2,Human Resources,3,Female,39,2,1,Sales Executive,2,Single,8243,5974,8,Yes,17,3,4,0,36,2,1,22,5,3,15,No
459,20,Travel_Rarely,1073,Sales,9,2,Medical,3,Female,95,2,5,Research Director,3,Divorced,13926,7905,3,No,17,3,2,3,19,3,4,1,2,7,4,No
460,18,Travel_Frequently,181,Human Resources,2,2,Marketing,1,Male,64,4,3,Research Director,4,Single,2055,23061,0,No,24,4,4,0,31,4,4,29,7,3,8,No
461,50,Non-Travel,703,Research & Development,25,2,Human Resources,3,Female,35,4,2,Sales Representative,4,Single,17717,6465,4,No,23,3,4,1,24,3,1,36,11,0,4,No
462,57,Travel_Rarely,871,Human Resources,26,3,Life Sciences,1,Male,48,3,3,Healthcare Representative,1,Married,10083,26795,8,No,12,4,3,0,20,2,3,4,3,8,3,Yes
463,27,Non-Travel,1002,Human Resources,18,4,Life Sciences,3,Male,88,4,1,Manufacturing Director,2,Single,2362,21686,2,No,17,3,2,1,15,6,1,19,1,2,12,No
464,46,Travel_Rarely,464,Human Resources,9,4,Technical Degree,3,Female,82,2,2,Manager,3,Single,1925,8945,4,No,20,3,4,3,0,0,2,25,9,13,16,No
465,30,Travel_Frequently,262,Human Resources,6,3,Human Resources,1,Male,37,1,3,Sales Executive,2,Married,19827,13058,2,Yes,18,4,3,2,22,5,4,38,14,0,11,No
